x,y,z
0,26.81,1.93
0,26.76,1.92
0,26.83,1.96
0,26.8,1.93
0,26.71,1.92
0,26.8,1.93
0,26.98,1.92
0,26.89,1.93
0,26.92,1.92
0,27.04,1.9
0,26.96,1.92
0,27.23,1.93
0,27.32,1.95
0,27.28,1.94
0,27.29,1.93
0,27.85,1.92
0,27.71,1.92
0,27.76,1.94
0,27.57,1.93
0,27.2,1.95
0,27.2,1.93
0,27.13,1.93
0,27.13,1.92
0,27.07,1.93
0,27.02,1.91
0,27.02,1.92
0,26.97,1.93
0,26.97,1.95
0,26.96,1.94
0,26.98,1.93
0,26.7,1.94
0,26.41,1.93
0,26.47,1.93
0,26.62,1.93
0,26.66,1.94
0,27.31,1.93
0,27.4,1.93
0,27.11,1.93
0,33.39,2.87
0,33.42,2.92
0,33.34,2.91
0,33.41,2.88
0,33.38,2.88
0,33.33,2.89
0,33.32,2.92
0,33.51,2.9
0,33.6,2.84
0,33.55,2.9
0,33.58,2.89
0,33.51,2.91
0,33.58,2.92
0,33.6,2.93
0,33.6,2.9
0,33.4,2.87
0,33.25,2.91
0,33.27,2.89
0,33.29,2.86
0,33.48,2.91
0,33.46,2.9
0,33.47,2.89
0,33.48,2.86
0,34.06,2.88
0,34.06,2.88
0,33.53,2.85
0,33.36,2.88
0,33.34,2.88
0,33.49,2.92
0,33.53,2.89
0,33.54,2.9
0,33.51,2.84
0,32.92,2.88
0,32.98,2.88
0,32.95,2.9
0,33.11,2.88
0,33.04,2.89
0,33.25,2.86
0,33.27,2.9
0,33.26,2.89
0,33.24,2.9
0,33.24,2.92
0,33.43,2.88
0,33.39,2.88
0,33.39,2.87
0,33.38,2.9
0,33.24,2.9
0,33.14,2.89
0,33.18,2.89
0,32.86,2.9
0,33.13,2.89
0,33.12,2.89
0,33.18,2.9
0,33.21,2.9
0,33.22,2.88
0,33.26,2.87
0,33.2,2.88
0,33.45,2.87
0,33.79,2.88
0,34.21,2.9
0,34,2.89
0,34.03,2.88
0,34.03,2.91
0,33.98,2.87
0,33.81,2.9
0,33.81,2.89
0,34,2.91
0,33.6,2.9
0,33.62,2.88
0,33.46,2.87
0,33.58,2.89
0,33.66,2.89
0,33.61,2.9
0,33.64,2.87
0,33.34,2.85
0,33.2,2.88
0,33.19,2.9
0,33.12,2.81
0,33.16,2.9
0,33.45,2.89
0,34.17,2.89
0,33.92,2.9
0,33.23,2.89
0,33.12,2.9
0,33.03,2.9
0,33.02,2.91
0,33.38,2.9
0,33.36,2.88
0,33.23,2.83
0,33.23,2.87
0,33.5,2.87
0,33.86,2.92
0,33.77,2.91
0,33.89,2.9
0,33.92,2.9
0,33.95,2.91
0,33.93,2.91
0,33.87,2.91
0,33.61,2.91
0,33.55,2.91
0,33.64,2.88
0,33.61,2.9
0,33.49,2.87
0,42.46,4.25
0,42.52,4.23
0,42.14,4.21
0,42.08,4.24
0,42.05,4.24
0,42.41,4.26
0,42.48,4.18
0,42.46,4.24
0,42.52,4.24
0,42.04,4.25
0,41.74,4.21
0,41.5,4.27
0,41.95,4.27
0,41.9,4.23
0,41.88,4.26
0,41.95,4.24
0,42.16,4.26
0,42.46,4.21
0,42.45,4.24
0,42.47,4.25
0,42.48,4.27
0,42.48,4.28
0,42.44,4.23
0,42.27,4.24
0,42.23,4.26
0,42.35,4.25
0,42.41,4.25
0,42.47,4.26
0,42.46,4.26
0,42.42,4.27
0,42.37,4.27
0,42.38,4.22
0,42.3,4.24
0,42.34,4.2
0,42.41,4.2
0,42.43,4.22
0,42.14,4.26
0,42.18,4.27
0,42.25,4.24
0,42.36,4.24
0,42.5,4.27
0,42.54,4.27
0,42.63,4.28
0,42.55,4.27
0,42.19,4.27
0,42.26,4.28
0,42.44,4.28
0,42.37,4.27
0,42.34,4.24
0,42.09,4.26
0,42.58,4.28
0,42.57,4.25
0,42.41,4.21
0,42.32,4.2
0,42.31,4.26
0,42.32,4.26
0,42.43,4.25
0,42.49,4.26
0,42.44,4.26
0,42.35,4.29
0,42.42,4.26
0,42.38,4.22
0,42.48,4.28
0,42.46,4.27
0,42.41,4.25
0,42.5,4.26
0,42.33,4.25
0,42.24,4.23
0,42.29,4.26
0,42.22,4.25
0,42.01,4.27
0,42.12,4.29
0,42.62,4.26
0,42.44,4.25
0,42.69,4.25
0,42.71,4.27
0,42.76,4.27
0,42.77,4.28
0,42.78,4.27
0,42.88,4.23
0,42.9,4.24
0,42.93,4.27
0,42.92,4.27
0,42.79,4.27
0,42.77,4.29
0,42.84,4.25
0,42.69,4.25
0,42.18,4.25
0,42.1,4.29
0,42.01,4.3
0,42.32,4.25
0,42.24,4.23
0,42.3,4.24
0,42.22,4.24
0,42.68,4.24
0,42.62,4.24
0,42.63,4.22
0,42.18,4.25
0,42.23,4.22
0,42.3,4.25
0,42.76,4.24
0,42.84,4.2
0,42.94,4.23
0,54.18,6.06
0,54.07,6.03
0,54.5,6.03
0,54.6,6.06
0,54.68,6.06
0,54.66,6
0,54.44,6.03
0,54.56,6.01
0,54.47,6.04
0,54.69,6.01
0,54.53,6
0,54.67,6
0,54.52,6.03
0,54.6,6.04
0,54.53,6
0,54.33,6.08
0,54.31,6.08
0,54.21,6.05
0,54.17,6.03
0,54.23,6.03
0,54.22,6.04
0,54.36,6.04
0,54.38,6.03
0,54.41,6.03
