x,y,z
0,1.93,26.81
0,1.92,26.76
0,1.96,26.83
0,1.93,26.8
0,1.92,26.71
0,1.93,26.8
0,1.92,26.98
0,1.93,26.89
0,1.92,26.92
0,1.9,27.04
0,1.92,26.96
0,1.93,27.23
0,1.95,27.32
0,1.94,27.28
0,1.93,27.29
0,1.92,27.85
0,1.92,27.71
0,1.94,27.76
0,1.93,27.57
0,1.95,27.2
0,1.93,27.2
0,1.93,27.13
0,1.92,27.13
0,1.93,27.07
0,1.91,27.02
0,1.92,27.02
0,1.93,26.97
0,1.95,26.97
0,1.94,26.96
0,1.93,26.98
0,1.94,26.7
0,1.93,26.41
0,1.93,26.47
0,1.93,26.62
0,1.94,26.66
0,1.93,27.31
0,1.93,27.4
0,1.93,27.11
0,2.87,33.39
0,2.92,33.42
0,2.91,33.34
0,2.88,33.41
0,2.88,33.38
0,2.89,33.33
0,2.92,33.32
0,2.9,33.51
0,2.84,33.6
0,2.9,33.55
0,2.89,33.58
0,2.91,33.51
0,2.92,33.58
0,2.93,33.6
0,2.9,33.6
0,2.87,33.4
0,2.91,33.25
0,2.89,33.27
0,2.86,33.29
0,2.91,33.48
0,2.9,33.46
0,2.89,33.47
0,2.86,33.48
0,2.88,34.06
0,2.88,34.06
0,2.85,33.53
0,2.88,33.36
0,2.88,33.34
0,2.92,33.49
0,2.89,33.53
0,2.9,33.54
0,2.84,33.51
0,2.88,32.92
0,2.88,32.98
0,2.9,32.95
0,2.88,33.11
0,2.89,33.04
0,2.86,33.25
0,2.9,33.27
0,2.89,33.26
0,2.9,33.24
0,2.92,33.24
0,2.88,33.43
0,2.88,33.39
0,2.87,33.39
0,2.9,33.38
0,2.9,33.24
0,2.89,33.14
0,2.89,33.18
0,2.9,32.86
0,2.89,33.13
0,2.89,33.12
0,2.9,33.18
0,2.9,33.21
0,2.88,33.22
0,2.87,33.26
0,2.88,33.2
0,2.87,33.45
0,2.88,33.79
0,2.9,34.21
0,2.89,34
0,2.88,34.03
0,2.91,34.03
0,2.87,33.98
0,2.9,33.81
0,2.89,33.81
0,2.91,34
0,2.9,33.6
0,2.88,33.62
0,2.87,33.46
0,2.89,33.58
0,2.89,33.66
0,2.9,33.61
0,2.87,33.64
0,2.85,33.34
0,2.88,33.2
0,2.9,33.19
0,2.81,33.12
0,2.9,33.16
0,2.89,33.45
0,2.89,34.17
0,2.9,33.92
0,2.89,33.23
0,2.9,33.12
0,2.9,33.03
0,2.91,33.02
0,2.9,33.38
0,2.88,33.36
0,2.83,33.23
0,2.87,33.23
0,2.87,33.5
0,2.92,33.86
0,2.91,33.77
0,2.9,33.89
0,2.9,33.92
0,2.91,33.95
0,2.91,33.93
0,2.91,33.87
0,2.91,33.61
0,2.91,33.55
0,2.88,33.64
0,2.9,33.61
0,2.87,33.49
